year_film,year_ceremony,film,count of year_ceremony,budget,opening_gross,usa_gross,ww_gross,imdb,metacritic,rm_critics,rm_audience
1991,1992,A Little Vicious,1,,,,,7.8,,,
1991,1992,Backdraft,3,"40,000,000","12,686,200","77,868,585","152,368,585",6.7,38,74,75
1991,1992,Barton Fink,3,"9,000,000","268,561","6,153,939","6,153,939",7.7,69,90,89
1991,1992,Beauty and the Beast,6,"25,000,000","162,146","218,967,620","424,967,620",8,95,94,92
1991,1992,Birch Street Gym,1,,,,,6.1,,,
1991,1992,Birdnesters of Thailand (aka 'Shadow Hunters'),1,,,,,7.6,,,
1991,1992,Blackfly,1,,,,,6.5,,,
1991,1992,Boyz N the Hood,2,"6,500,000","10,023,462","57,504,069","57,529,070",7.8,76,96,93
1991,1992,Bugsy,10,"30,000,000","140,358","49,114,016","49,114,016",6.8,80,85,69
1991,1992,Cape Fear,2,"35,000,000","10,261,025","79,091,969","182,291,969",7.3,73,75,77
1991,1992,Children of Nature,1,,,,,7.3,,,81
1991,1992,City Slickers,1,"27,000,000","13,032,121","124,033,791","179,033,791",6.8,70,90,64
1991,1992,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1,,,,,5.3,,,
1991,1992,Death on the Job,1,,,,,7.5,,,
1991,1992,Doing Time: Life inside the Big House,1,,,,,7.3,,,
1991,1992,Europa Europa,1,,"31,433, 30","5,575,738","5,575,738",7.6,,95,91
1991,1992,For the Boys,1,"40,000,000","71,348","17,860,280","23,202,444",6.4,,43,75
1991,1992,Fried Green Tomatoes,2,"11,000,000","105,317","82,418,501","119,418,501",7.7,64,74,91
1991,1992,Grand Canyon,1,,"67,546","33,243,020","40,991,329",6.9,64,77,70
1991,1992,Hook,5,"70,000,000","13,522,535","119,654,823","300,854,823",6.8,52,29,76
1991,1992,In the Shadow of the Stars,1,,,,,6.4,,,50
1991,1992,JFK,8,"40,000,000","5,223,658","70,405,498","205,405,498",8,72,84,88
1991,1992,Last Breeze of Summer,1,,,,,7.3,,,
1991,1992,Madame Bovary,1,,"236,113","1,942,423","1,942,423",6.6,,73,60
1991,1992,Manipulation,1,,,,,6.7,,,
1991,1992,Mediterraneo,1,,,"4,532,791","4,532,791",7.5,,79,91
1991,1992,Memorial: Letters from American Soldiers,1,,,,,6.6,,,
1991,1992,Raise the Red Lantern,1,,"22,554","2,603,061","2,603,061",8.1,,96,94
1991,1992,Rambling Rose,2,"7,500,000","314,631","6,266,621","6,266,621",6.6,,100,53
1991,1992,Robin Hood: Prince of Thieves,1,"48,000,000","25,625,602","165,493,908","390,493,908",6.9,51,51,72
